https://wave-website-seven.vercel.app/　,,,,
修正オーダー,カテゴリー,進捗,260210_From hayato,260311_MTG MEMO
全体,,,,
メニューを出したままスクロールができない,Browser,完了,スクロールできないです。,○
モバイル版の実装についてモバイル単独で実装できるか確認,Mobile,hayato対応中,,"モバイル・ブラウザ・Ipad用で調整して頂く。
それぞれで適切な文字サイズ・余白感"
FEATUREDの画像サイズは揃えたい、WORKSのサムネハ16:9固定で、サイズはブラウザの大小にたいして可変で,Browser,完了,"「コンテナ幅 × 画像の自然なアスペクト比」で算出した高さを onImageLoad で受け取り、表示中の全カードで最小の高さを minHeight として保持。
各カードに imageHeight={minHeight} を渡し、画像エリアの高さをこの最小値で統一。

サムネはアスペクト比を守る。
全ての画像の高さを割り出して、グリッドの最大高さを決定する。
（全てのグリッドの高さを揃えて統一感を出すため）
横幅は画面幅で決定されてしまうので、高さが揃わない場合があります。
高さも横さもアスペクト比全てを優先することは不可能なので上記のルールでやっています。",
ヘッダーの文字列の行間をデザイン通りに,Browser,hayato対応中,ヘッダーの文字列とは？,メニューの行間を調整する
TOP,,,,
FEATURED / WORKSの文字列とサムネの端が揃うように,Browser,完了,"スマホとデスクトップを同じptで統一しているので、この感じになります。
InDesignのスマホ幅は1200pxですが、実際は300pxになるため、30ptだとこんな感じになります。",
FEATUREDに表示される、WORKSとRELEASEはどのようにセレクトしますか？今入力した分は自動的に反映されるようです。セレクトでき、表示される順番を調整できるようになると嬉しいです。,WP,hayato対応中,,
TOPページに表示される、RELEASEの文字要素が、「タイトル」と「ハッシュタグ」のみですが、「Release Date:」は表示できるようにできますでしょうか？,Browser,hayato対応中,,
FEATUREDのテキストにカーソルを合わせた時にも、文字が黄緑になるようにしたいです,Browser,hayato対応中,,
ABOUT,,,,
Conceptの文字バランス,Browser,hayato対応中,,"デザインをご参照ください。
https://www.dropbox.com/scl/fi/8lv1hvrdkyi7i9brutxmk/WAVE_WEBSITE_11.pdf?rlkey=inl8l6i1fnp2yh3yeyxtof6ib&st=lf5s1qqu&dl=0"
"OUR SERVICEの表記に違和感がある。
OUR SERVICEと「HAL ca アーティストマネージメント」の高さを揃える
""HAL ca アーティストマネージメント
サウンドプロデュース
コンテンツ制作
音楽制作
企画 / 体験デザイン
イベント企画 / プロデュース""
を太字に",Browser,hayato対応中,○,"デザインをご参照ください。
https://www.dropbox.com/scl/fi/8lv1hvrdkyi7i9brutxmk/WAVE_WEBSITE_11.pdf?rlkey=inl8l6i1fnp2yh3yeyxtof6ib&st=lf5s1qqu&dl=0"
